"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,163,"NGA","Nigeria",1,"Abia","NG.AB",NA,"","State","State","",""
2,163,"NGA","Nigeria",2,"Adamawa","NG.AD",NA,"","State","State","",""
3,163,"NGA","Nigeria",3,"Akwa Ibom","NG.AK",NA,"","State","State","",""
4,163,"NGA","Nigeria",4,"Anambra","NG.AN",NA,"","State","State","",""
5,163,"NGA","Nigeria",5,"Bauchi","NG.BA",NA,"","State","State","",""
6,163,"NGA","Nigeria",6,"Bayelsa","NG.BY",NA,"","State","State","",""
7,163,"NGA","Nigeria",7,"Benue","NG.BE",NA,"","State","State","",""
8,163,"NGA","Nigeria",8,"Borno","NG.BO",NA,"","State","State","",""
9,163,"NGA","Nigeria",9,"Cross River","NG.CR",NA,"","State","State","",""
10,163,"NGA","Nigeria",10,"Delta","NG.DE",NA,"","State","State","",""
11,163,"NGA","Nigeria",11,"Ebonyi","NG.EB",NA,"","State","State","",""
12,163,"NGA","Nigeria",12,"Edo","NG.ED",NA,"","State","State","",""
13,163,"NGA","Nigeria",13,"Ekiti","NG.EK",NA,"","State","State","",""
14,163,"NGA","Nigeria",14,"Enugu","NG.EN",NA,"","State","State","",""
15,163,"NGA","Nigeria",15,"Federal Capital Territory","NG.FC",NA,"","State","State","","Abuja"
16,163,"NGA","Nigeria",16,"Gombe","NG.GO",NA,"","State","State","",""
17,163,"NGA","Nigeria",17,"Imo","NG.IM",NA,"","State","State","",""
18,163,"NGA","Nigeria",18,"Jigawa","NG.JI",NA,"","State","State","",""
19,163,"NGA","Nigeria",19,"Kaduna","NG.KD",NA,"","State","State","",""
20,163,"NGA","Nigeria",20,"Kano","NG.KN",NA,"","State","State","",""
21,163,"NGA","Nigeria",21,"Katsina","NG.KT",NA,"","State","State","",""
22,163,"NGA","Nigeria",22,"Kebbi","NG.KE",NA,"","State","State","",""
23,163,"NGA","Nigeria",23,"Kogi","NG.KO",NA,"","State","State","",""
24,163,"NGA","Nigeria",24,"Kwara","NG.KW",NA,"","State","State","",""
25,163,"NGA","Nigeria",25,"Lagos","NG.LA",NA,"","State","State","",""
26,163,"NGA","Nigeria",26,"Nassarawa","NG.NA",NA,"","State","State","",""
27,163,"NGA","Nigeria",27,"Niger","NG.NI",NA,"","State","State","",""
28,163,"NGA","Nigeria",28,"Ogun","NG.OG",NA,"","State","State","",""
29,163,"NGA","Nigeria",29,"Ondo","NG.ON",NA,"","State","State","",""
30,163,"NGA","Nigeria",30,"Osun","NG.OS",NA,"","State","State","",""
31,163,"NGA","Nigeria",31,"Oyo","NG.OY",NA,"","State","State","",""
32,163,"NGA","Nigeria",32,"Plateau","NG.PL",NA,"","State","State","",""
33,163,"NGA","Nigeria",33,"Rivers","NG.RI",NA,"","State","State","",""
34,163,"NGA","Nigeria",34,"Sokoto","NG.SO",NA,"","State","State","",""
35,163,"NGA","Nigeria",35,"Taraba","NG.TA",NA,"","State","State","",""
36,163,"NGA","Nigeria",36,"Yobe","NG.YO",NA,"","State","State","",""
37,163,"NGA","Nigeria",37,"Zamfara","NG.ZA",NA,"","State","State","",""
