"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,163,"NGA","Nigeria",1,"Abia",1,"Aba North","",NA,"","Local Authority","Local Authority","",""
2,163,"NGA","Nigeria",1,"Abia",2,"Aba South","",NA,"","Local Authority","Local Authority","",""
3,163,"NGA","Nigeria",1,"Abia",3,"Arochukw","",NA,"","Local Authority","Local Authority","","Arochukwu"
4,163,"NGA","Nigeria",1,"Abia",4,"Bende","",NA,"","Local Authority","Local Authority","",""
5,163,"NGA","Nigeria",1,"Abia",5,"Ikwuano","",NA,"","Local Authority","Local Authority","",""
6,163,"NGA","Nigeria",1,"Abia",6,"Isiala Ngwa North","",NA,"","Local Authority","Local Authority","",""
7,163,"NGA","Nigeria",1,"Abia",7,"Isiala Ngwa South","",NA,"","Local Authority","Local Authority","",""
8,163,"NGA","Nigeria",1,"Abia",8,"Isuikwua","",NA,"","Local Authority","Local Authority","","Isuikwuato"
9,163,"NGA","Nigeria",1,"Abia",9,"Oboma Ngwa","",NA,"","Local Authority","Local Authority","",""
10,163,"NGA","Nigeria",1,"Abia",10,"Ohafia Abia","",NA,"","Local Authority","Local Authority","","Ohafia"
11,163,"NGA","Nigeria",1,"Abia",11,"Osisioma Ngwa","",NA,"","Local Authority","Local Authority","",""
12,163,"NGA","Nigeria",1,"Abia",12,"Ugwunagbo","",NA,"","Local Authority","Local Authority","",""
13,163,"NGA","Nigeria",1,"Abia",13,"Ukwa East","",NA,"","Local Authority","Local Authority","",""
14,163,"NGA","Nigeria",1,"Abia",14,"Ukwa West","",NA,"","Local Authority","Local Authority","",""
15,163,"NGA","Nigeria",1,"Abia",15,"Umu-Nneochi","",NA,"","Local Authority","Local Authority","",""
16,163,"NGA","Nigeria",1,"Abia",16,"Umuahia North","",NA,"","Local Authority","Local Authority","",""
17,163,"NGA","Nigeria",1,"Abia",17,"Umuahia South","",NA,"","Local Authority","Local Authority","",""
18,163,"NGA","Nigeria",2,"Adamawa",18,"Demsa","",NA,"","Local Authority","Local Authority","",""
19,163,"NGA","Nigeria",2,"Adamawa",19,"Fufore","",NA,"","Local Authority","Local Authority","",""
20,163,"NGA","Nigeria",2,"Adamawa",20,"Ganye","",NA,"","Local Authority","Local Authority","",""
