"01 Crop and animal production, hunting and related service activities","01 Crop and animal production, hunting and related service activities",13922.2
"01 Crop and animal production, hunting and related service activities",02 Forestry and logging,109.5
"01 Crop and animal production, hunting and related service activities",03 Fishing and aquaculture,59.2
"01 Crop and animal production, hunting and related service activities",10 Manufacture of food products,22211.1
"01 Crop and animal production, hunting and related service activities",11 Manufacture of beverages,3097.8
"01 Crop and animal production, hunting and related service activities",12 Manufacture of tobacco products,0.2
"01 Crop and animal production, hunting and related service activities",13 Manufacture of textiles,368.3
"01 Crop and animal production, hunting and related service activities",15 Manufacture of leather and related products,27.6
"01 Crop and animal production, hunting and related service activities",20 Manufacture of chemicals and chemical products,11.9
"01 Crop and animal production, hunting and related service activities",56 Food and beverage service activities,25.1
"01 Crop and animal production, hunting and related service activities",81 Services to buildings and landscape activities,56.5
02 Forestry and logging,"01 Crop and animal production, hunting and related service activities",132.8
02 Forestry and logging,02 Forestry and logging,1508.3
02 Forestry and logging,03 Fishing and aquaculture,17.1
02 Forestry and logging,07 Mining of metal ores,0.2
02 Forestry and logging,10 Manufacture of food products,223
02 Forestry and logging,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2021.4
02 Forestry and logging,17 Manufacture of paper and paper products,266.2
02 Forestry and logging,31 Manufacture of furniture,242.5
02 Forestry and logging,32 Other manufacturing n.e.c.,40.2
02 Forestry and logging,41 Construction of buildings,104
02 Forestry and logging,42 Civil engineering,39.8
02 Forestry and logging,43 Specialised construction activities,26.7
02 Forestry and logging,49 Land transport and transport via pipelines,15.8
02 Forestry and logging,56 Food and beverage service activities,1.6
02 Forestry and logging,71 Architectural and engineering activities; technical testing and analysis,33.2
02 Forestry and logging,95 Repair of computers and personal and household goods,4.6
03 Fishing and aquaculture,03 Fishing and aquaculture,7.4
03 Fishing and aquaculture,10 Manufacture of food products,201.8
03 Fishing and aquaculture,56 Food and beverage service activities,1.9
05 Mining of coal and lignite,"01 Crop and animal production, hunting and related service activities",23.1
05 Mining of coal and lignite,05 Mining of coal and lignite,11
05 Mining of coal and lignite,08 Other mining and quarrying,0.3
05 Mining of coal and lignite,10 Manufacture of food products,4.5
05 Mining of coal and lignite,19 Manufacture of coke and refined petroleum products,381.9
05 Mining of coal and lignite,20 Manufacture of chemicals and chemical products,2.8
05 Mining of coal and lignite,23 Manufacture of other non-metallic mineral products,11.9
05 Mining of coal and lignite,24 Manufacture of basic metals,40.5
05 Mining of coal and lignite,"26 Manufacture of computer, electronic and optical products",2.4
05 Mining of coal and lignite,27 Manufacture of electrical equipment,10.8
05 Mining of coal and lignite,28 Manufacture of machinery and equipment n.e.c.,3.2
05 Mining of coal and lignite,33 Repair and installation of machinery and equipment,1.5
05 Mining of coal and lignite,"35 Electricity, gas, steam and air conditioning supply",1169.5
05 Mining of coal and lignite,41 Construction of buildings,3.2
05 Mining of coal and lignite,42 Civil engineering,2
05 Mining of coal and lignite,43 Specialised construction activities,1.9
05 Mining of coal and lignite,68 Real estate activities,8.1
05 Mining of coal and lignite,69 Legal and accounting activities,11.2
05 Mining of coal and lignite,70 Activities of head offices; management consultancy activities,6.8
05 Mining of coal and lignite,73 Advertising and market research,7.6
05 Mining of coal and lignite,"74 Other professional, scientific and technical activities",5.6
05 Mining of coal and lignite,77 Rental and leasing activities,1.8
05 Mining of coal and lignite,78 Employment activities,1.7
05 Mining of coal and lignite,80 Security and investigation activities,1.8
05 Mining of coal and lignite,81 Services to buildings and landscape activities,1.6
05 Mining of coal and lignite,"82 Office administrative, office support and other business support activities",4.9
05 Mining of coal and lignite,"84 Public administration and defence, compulsory social security",1.5
05 Mining of coal and lignite,85 Education,0.6
05 Mining of coal and lignite,86 Human health activities,1.5
06 Extraction of crude petroleum and natural gas,19 Manufacture of coke and refined petroleum products,15947.8
06 Extraction of crude petroleum and natural gas,"35 Electricity, gas, steam and air conditioning supply",15130
07 Mining of metal ores,24 Manufacture of basic metals,3368.9
08 Other mining and quarrying,"01 Crop and animal production, hunting and related service activities",7.1
08 Other mining and quarrying,10 Manufacture of food products,12.2
08 Other mining and quarrying,17 Manufacture of paper and paper products,2.1
08 Other mining and quarrying,20 Manufacture of chemicals and chemical products,157.8
08 Other mining and quarrying,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.6
08 Other mining and quarrying,23 Manufacture of other non-metallic mineral products,1207.3
08 Other mining and quarrying,24 Manufacture of basic metals,87.9
08 Other mining and quarrying,33 Repair and installation of machinery and equipment,21.7
08 Other mining and quarrying,"35 Electricity, gas, steam and air conditioning supply",5.5
08 Other mining and quarrying,41 Construction of buildings,714.8
08 Other mining and quarrying,42 Civil engineering,265
08 Other mining and quarrying,43 Specialised construction activities,190.9
09 Mining support service activities,05 Mining of coal and lignite,211.3
09 Mining support service activities,06 Extraction of crude petroleum and natural gas,1320.9
09 Mining support service activities,07 Mining of metal ores,89.2
09 Mining support service activities,08 Other mining and quarrying,731.6
09 Mining support service activities,09 Mining support service activities,324.8
10 Manufacture of food products,"01 Crop and animal production, hunting and related service activities",1352.9
10 Manufacture of food products,02 Forestry and logging,32.3
10 Manufacture of food products,03 Fishing and aquaculture,1.4
10 Manufacture of food products,05 Mining of coal and lignite,4.3
10 Manufacture of food products,06 Extraction of crude petroleum and natural gas,6.5
10 Manufacture of food products,07 Mining of metal ores,0.7
10 Manufacture of food products,08 Other mining and quarrying,4.7
10 Manufacture of food products,09 Mining support service activities,31.5
10 Manufacture of food products,10 Manufacture of food products,11817.2
10 Manufacture of food products,11 Manufacture of beverages,806.1
10 Manufacture of food products,12 Manufacture of tobacco products,0.1
10 Manufacture of food products,13 Manufacture of textiles,14.1
10 Manufacture of food products,14 Manufacture of wearing apparel,53.8
10 Manufacture of food products,15 Manufacture of leather and related products,82.1
10 Manufacture of food products,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",89.8
10 Manufacture of food products,17 Manufacture of paper and paper products,12
10 Manufacture of food products,18 Printing and reproduction of recorded media,22.3
10 Manufacture of food products,19 Manufacture of coke and refined petroleum products,18.5
10 Manufacture of food products,20 Manufacture of chemicals and chemical products,7.1
10 Manufacture of food products,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,65.7
10 Manufacture of food products,23 Manufacture of other non-metallic mineral products,34.4
10 Manufacture of food products,24 Manufacture of basic metals,12.9
10 Manufacture of food products,"25 Manufacture of fabricated metal products, except machinery and equipment",29.3
10 Manufacture of food products,"26 Manufacture of computer, electronic and optical products",31.7
10 Manufacture of food products,27 Manufacture of electrical equipment,70
10 Manufacture of food products,28 Manufacture of machinery and equipment n.e.c.,27.7
10 Manufacture of food products,"29 Manufacture of motor vehicles, trailers and semi-trailers",86.6
10 Manufacture of food products,30 Manufacture of other transport equipment,25.2
10 Manufacture of food products,31 Manufacture of furniture,17.1
10 Manufacture of food products,32 Other manufacturing n.e.c.,11.3
10 Manufacture of food products,33 Repair and installation of machinery and equipment,18.9
10 Manufacture of food products,"35 Electricity, gas, steam and air conditioning supply",29.4
10 Manufacture of food products,"36 Water collection, treatment and supply",10
10 Manufacture of food products,37 Sewerage,5.8
10 Manufacture of food products,"38 Waste collection, treatment and disposal activities; materials recovery",115.6
10 Manufacture of food products,39 Remediation activities and other waste management services,6.1
10 Manufacture of food products,41 Construction of buildings,210.8
10 Manufacture of food products,42 Civil engineering,77.5
10 Manufacture of food products,43 Specialised construction activities,49.3
10 Manufacture of food products,45 Wholesale and retail trade and repair of motor vehicles and motorcycles,37.9
10 Manufacture of food products,"46 Wholesale trade, except of motor vehicles and motorcycles",171.7
10 Manufacture of food products,"47 Retail trade, except of motor vehicles and motorcycles",96.7
10 Manufacture of food products,49 Land transport and transport via pipelines,103.1
10 Manufacture of food products,50 Water transport,22.1
10 Manufacture of food products,51 Air transport,13.5
10 Manufacture of food products,52 Warehousing and support activities for transportation,179.4
10 Manufacture of food products,53 Postal and courier activities,22.7
10 Manufacture of food products,55 Accommodation,21.9
10 Manufacture of food products,56 Food and beverage service activities,334.8
10 Manufacture of food products,58 Publishing activities,16
10 Manufacture of food products,"59 Motion picture, video and television programme production, sound recording and music publishing activities",19.4
10 Manufacture of food products,60 Programming and broadcasting activities,14.4
10 Manufacture of food products,61 Telecommunications,62.1
10 Manufacture of food products,"62 Computer programming, consultancy and related activities",164.6
10 Manufacture of food products,63 Information service activities,19.7
10 Manufacture of food products,"64 Financial service activities, except insurance and pension funding",38
10 Manufacture of food products,"65 Insurance, reinsurance and pension funding, except compulsory social security",7.6
10 Manufacture of food products,66 Activities auxiliary to financial services and insurance activities,0.5
10 Manufacture of food products,68 Real estate activities,35.1
10 Manufacture of food products,69 Legal and accounting activities,144.4
10 Manufacture of food products,70 Activities of head offices; management consultancy activities,86.8
10 Manufacture of food products,71 Architectural and engineering activities; technical testing and analysis,71.4
10 Manufacture of food products,72 Scientific research and development,9.2
10 Manufacture of food products,73 Advertising and market research,97
10 Manufacture of food products,"74 Other professional, scientific and technical activities",71.9
10 Manufacture of food products,75 Veterinary activities,12.9
10 Manufacture of food products,77 Rental and leasing activities,24.1
10 Manufacture of food products,78 Employment activities,21.4
10 Manufacture of food products,"79 Travel agency, tour operator and other reservation service and related activities",43.8
10 Manufacture of food products,80 Security and investigation activities,22.7
10 Manufacture of food products,81 Services to buildings and landscape activities,21.4
10 Manufacture of food products,"82 Office administrative, office support and other business support activities",63.6
10 Manufacture of food products,"84 Public administration and defence, compulsory social security",118.9
10 Manufacture of food products,85 Education,479.3
10 Manufacture of food products,86 Human health activities,1053.8
10 Manufacture of food products,87 Residential care activities,1.8
10 Manufacture of food products,88 Social work activities without accommodation,0.4
10 Manufacture of food products,"90 Creative, arts and entertainment activities",10.3
10 Manufacture of food products,"91 Libraries, archives, museums and other cultural activities",6.6
10 Manufacture of food products,92 Gambling and betting activities,11.6
10 Manufacture of food products,93 Sports activities and amusement and recreation activities,11.4
10 Manufacture of food products,94 Activities of membership organisations,66.1
10 Manufacture of food products,95 Repair of computers and personal and household goods,78.9
10 Manufacture of food products,96 Other personal service activities,17.4
11 Manufacture of beverages,"01 Crop and animal production, hunting and related service activities",126
11 Manufacture of beverages,02 Forestry and logging,11.9
11 Manufacture of beverages,03 Fishing and aquaculture,0.4
11 Manufacture of beverages,05 Mining of coal and lignite,0.6
11 Manufacture of beverages,06 Extraction of crude petroleum and natural gas,9
11 Manufacture of beverages,10 Manufacture of food products,246.1
11 Manufacture of beverages,11 Manufacture of beverages,1904.8
11 Manufacture of beverages,13 Manufacture of textiles,15.2
11 Manufacture of beverages,14 Manufacture of wearing apparel,26.7
11 Manufacture of beverages,15 Manufacture of leather and related products,24.6
11 Manufacture of beverages,"16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",33.3
11 Manufacture of beverages,17 Manufacture of paper and paper products,8.9
11 Manufacture of beverages,18 Printing and reproduction of recorded media,8.4
11 Manufacture of beverages,19 Manufacture of coke and refined petroleum products,7
11 Manufacture of beverages,20 Manufacture of chemicals and chemical products,101.8
11 Manufacture of beverages,21 Manufacture of basic pharmaceutical products and pharmaceutical preparations,19.5
11 Manufacture of beverages,22 Manufacture of rubber and plastic products,30.9
11 Manufacture of beverages,23 Manufacture of other non-metallic mineral products,31.7
11 Manufacture of beverages,24 Manufacture of basic metals,35.4
11 Manufacture of beverages,"25 Manufacture of fabricated metal products, except machinery and equipment",54.7
11 Manufacture of beverages,"26 Manufacture of computer, electronic and optical products",17.5
11 Manufacture of beverages,27 Manufacture of electrical equipment,25.9
11 Manufacture of beverages,28 Manufacture of machinery and equipment n.e.c.,35.5
11 Manufacture of beverages,"29 Manufacture of motor vehicles, trailers and semi-trailers",161.6
11 Manufacture of beverages,30 Manufacture of other transport equipment,9.4
11 Manufacture of beverages,31 Manufacture of furniture,19
11 Manufacture of beverages,32 Other manufacturing n.e.c.,4.3
11 Manufacture of beverages,33 Repair and installation of machinery and equipment,21
